                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:38:44  -122235.573475*       1.0589
BFGSLineSearch:    1[  2] 01:00:13  -122236.113809*       5.5849
BFGSLineSearch:    2[  4] 02:29:30  -122237.069057*       2.3677
BFGSLineSearch:    3[  6] 04:01:15  -122237.277686*       1.6302
BFGSLineSearch:    4[  8] 05:30:17  -122237.351136*       1.1117
BFGSLineSearch:    5[ 10] 06:43:14  -122237.378387*       0.9714
BFGSLineSearch:    6[ 12] 07:49:53  -122237.396734*       0.7129
BFGSLineSearch:    7[ 14] 09:04:11  -122237.411545*       0.5135
BFGSLineSearch:    8[ 16] 10:01:35  -122237.427021*       0.3939
BFGSLineSearch:    9[ 18] 11:01:46  -122237.437452*       0.4812
BFGSLineSearch:   10[ 20] 11:56:45  -122237.446704*       0.4896
BFGSLineSearch:   11[ 22] 12:57:30  -122237.458290*       0.3492
BFGSLineSearch:   12[ 24] 14:00:26  -122237.467829*       0.3312
BFGSLineSearch:   13[ 26] 15:01:17  -122237.478190*       0.2174
BFGSLineSearch:   14[ 28] 15:51:24  -122237.485801*       0.2871
BFGSLineSearch:   15[ 30] 16:48:48  -122237.489879*       0.2985
BFGSLineSearch:   16[ 32] 17:43:15  -122237.497044*       0.3709
BFGSLineSearch:   17[ 33] 18:08:22  -122237.516573*       0.5329
BFGSLineSearch:   18[ 35] 19:05:07  -122237.528565*       0.5833
BFGSLineSearch:   19[ 37] 19:52:17  -122237.543636*       0.6624
BFGSLineSearch:   20[ 39] 20:53:39  -122237.567949*       0.3592
BFGSLineSearch:   21[ 41] 21:52:43  -122237.581678*       0.3354
BFGSLineSearch:   22[ 42] 22:20:49  -122237.594561*       0.4310
BFGSLineSearch:   23[ 44] 23:30:23  -122237.603403*       0.2811
BFGSLineSearch:   24[ 46] 00:08:10  -122237.624688*       0.2945
BFGSLineSearch:   25[ 47] 00:30:32  -122237.640202*       0.1283
BFGSLineSearch:   26[ 48] 00:51:54  -122237.650470*       0.1186
BFGSLineSearch:   27[ 49] 01:12:40  -122237.654496*       0.2114
BFGSLineSearch:   28[ 50] 01:38:44  -122237.659859*       0.1158
BFGSLineSearch:   29[ 51] 01:55:39  -122237.662444*       0.1280
BFGSLineSearch:   30[ 52] 02:19:49  -122237.664218*       0.0701
BFGSLineSearch:   31[ 53] 02:32:47  -122237.664950*       0.0449
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 15:36:35  -122236.402407*       1.0706
BFGSLineSearch:    1[  1] 13:37:35  -122236.483830*       1.1276
