                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:48:16  -122235.465349*       1.1974
BFGSLineSearch:    1[  2] 01:15:11  -122235.977297*       5.5543
BFGSLineSearch:    2[  4] 02:50:26  -122237.028121*       2.9610
BFGSLineSearch:    3[  6] 04:01:41  -122237.239084*       1.9565
BFGSLineSearch:    4[  8] 05:33:31  -122237.329518*       1.1871
BFGSLineSearch:    5[ 10] 06:32:45  -122237.365282*       1.2122
BFGSLineSearch:    6[ 12] 08:01:18  -122237.386860*       0.8352
BFGSLineSearch:    7[ 14] 09:04:24  -122237.408018*       0.4947
BFGSLineSearch:    8[ 16] 10:09:05  -122237.426155*       0.4324
BFGSLineSearch:    9[ 18] 10:59:20  -122237.437480*       0.4745
BFGSLineSearch:   10[ 20] 11:44:02  -122237.447634*       0.4275
BFGSLineSearch:   11[ 22] 12:51:16  -122237.462044*       0.3367
BFGSLineSearch:   12[ 24] 13:52:20  -122237.472707*       0.5513
BFGSLineSearch:   13[ 26] 14:47:14  -122237.487762*       0.3697
BFGSLineSearch:   14[ 28] 15:46:40  -122237.505956*       0.4641
BFGSLineSearch:   15[ 30] 16:41:34  -122237.516478*       0.4761
BFGSLineSearch:   16[ 32] 17:44:17  -122237.529481*       0.4322
BFGSLineSearch:   17[ 34] 18:57:04  -122237.549902*       0.4472
BFGSLineSearch:   18[ 36] 19:47:28  -122237.558914*       0.4046
BFGSLineSearch:   19[ 38] 20:33:34  -122237.573028*       0.5999
BFGSLineSearch:   20[ 40] 21:23:00  -122237.589086*       0.2678
BFGSLineSearch:   21[ 42] 22:05:03  -122237.597304*       0.3494
BFGSLineSearch:   22[ 44] 23:06:39  -122237.606611*       0.4613
BFGSLineSearch:   23[ 46] 00:08:08  -122237.623612*       0.4331
BFGSLineSearch:   24[ 47] 00:26:22  -122237.637800*       0.3074
BFGSLineSearch:   25[ 48] 00:52:22  -122237.644200*       0.3944
BFGSLineSearch:   26[ 49] 01:17:34  -122237.651229*       0.1478
BFGSLineSearch:   27[ 50] 01:35:15  -122237.656122*       0.1320
BFGSLineSearch:   28[ 51] 01:54:59  -122237.660108*       0.1601
BFGSLineSearch:   29[ 52] 02:13:29  -122237.662033*       0.0704
BFGSLineSearch:   30[ 53] 02:29:03  -122237.663052*       0.0651
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:26:44  -122236.306438*       1.1825
BFGSLineSearch:    1[  1] 23:19:22  -122236.428382*       1.7045
BFGSLineSearch:    2[  2] 01:04:47  -122236.584689*       1.1376
BFGSLineSearch:    3[  3] 02:15:49  -122236.651751*       0.6192
BFGSLineSearch:    4[  4] 03:38:36  -122236.673446*       0.5387
BFGSLineSearch:    5[  5] 04:51:50  -122236.683873*       0.3824
BFGSLineSearch:    6[  6] 06:17:40  -122236.692490*       0.2794
BFGSLineSearch:    7[  7] 07:27:13  -122236.697086*       0.1703
BFGSLineSearch:    8[  8] 08:10:58  -122236.699558*       0.0441
