                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:20:00  -121829.135235*       0.9925
BFGSLineSearch:    1[  2] 01:11:08  -121829.741952*       5.3909
BFGSLineSearch:    2[  4] 03:15:52  -121830.613256*       2.8556
BFGSLineSearch:    3[  6] 04:58:35  -121830.893041*       1.3828
BFGSLineSearch:    4[  8] 06:50:46  -121830.909956*       1.1498
BFGSLineSearch:    5[ 10] 08:18:07  -121830.935402*       0.8042
BFGSLineSearch:    6[ 12] 09:59:53  -121830.962793*       0.3445
BFGSLineSearch:    7[ 14] 11:06:32  -121830.976398*       0.3904
BFGSLineSearch:    8[ 16] 12:40:37  -121830.985871*       0.4802
BFGSLineSearch:    9[ 18] 13:58:02  -121830.993776*       0.4103
BFGSLineSearch:   10[ 20] 15:04:15  -121831.009444*       0.3977
BFGSLineSearch:   11[ 22] 16:42:37  -121831.019014*       0.2724
BFGSLineSearch:   12[ 24] 17:54:45  -121831.024267*       0.2497
BFGSLineSearch:   13[ 26] 19:14:13  -121831.030277*       0.2351
BFGSLineSearch:   14[ 27] 19:40:14  -121831.040183*       0.1520
BFGSLineSearch:   15[ 29] 20:51:24  -121831.049553*       0.3028
BFGSLineSearch:   16[ 31] 22:14:38  -121831.060734*       0.5939
BFGSLineSearch:   17[ 33] 23:44:20  -121831.075846*       0.4622
BFGSLineSearch:   18[ 35] 01:08:29  -121831.087791*       0.4428
BFGSLineSearch:   19[ 36] 01:43:35  -121831.104880*       0.5293
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:17:00  -121829.967578*       0.9918
BFGSLineSearch:    1[  2] 00:02:31  -121830.123433*       0.5590
BFGSLineSearch:    2[  4] 03:35:52  -121830.150231*       0.6048
BFGSLineSearch:    3[  5] 04:47:44  -121830.174715*       0.4707
BFGSLineSearch:    4[  7] 06:49:12  -121830.182234*       0.4229
BFGSLineSearch:    5[  9] 09:50:06  -121830.190458*       0.2380
BFGSLineSearch:    6[ 10] 11:14:43  -121830.198797*       0.3173
BFGSLineSearch:    7[ 12] 14:14:01  -121830.201694*       0.3171
BFGSLineSearch:    8[ 13] 15:45:20  -121830.205637*       0.2191
BFGSLineSearch:    9[ 14] 16:58:16  -121830.209969*       0.1530
BFGSLineSearch:   10[ 15] 18:13:19  -121830.212510*       0.1230
BFGSLineSearch:   11[ 17] 19:57:28  -121830.216644*       0.1914
BFGSLineSearch:   12[ 18] 20:47:15  -121830.219650*       0.1324
BFGSLineSearch:   13[ 19] 21:37:23  -121830.223251*       0.1680
BFGSLineSearch:   14[ 20] 22:58:09  -121830.226016*       0.1909
BFGSLineSearch:   15[ 21] 23:49:09  -121830.229578*       0.0973
BFGSLineSearch:   16[ 22] 00:43:51  -121830.232160*       0.0815
BFGSLineSearch:   17[ 23] 01:23:30  -121830.232915*       0.0995
BFGSLineSearch:   18[ 24] 02:02:46  -121830.233212*       0.0370
