                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:33:26  -121829.061237*       1.1962
BFGSLineSearch:    1[  2] 01:27:23  -121829.633575*       5.4780
BFGSLineSearch:    2[  4] 03:36:51  -121830.527058*       3.8950
BFGSLineSearch:    3[  6] 05:51:49  -121830.866699*       1.6961
BFGSLineSearch:    4[  8] 07:48:39  -121830.894212*       1.0818
BFGSLineSearch:    5[ 10] 09:24:26  -121830.925867*       0.8858
BFGSLineSearch:    6[ 12] 10:46:47  -121830.961764*       0.6749
BFGSLineSearch:    7[ 14] 12:28:06  -121830.978837*       0.3966
BFGSLineSearch:    8[ 16] 14:04:17  -121830.990372*       0.3934
BFGSLineSearch:    9[ 18] 15:11:20  -121830.999853*       0.4954
BFGSLineSearch:   10[ 20] 16:30:52  -121831.009990*       0.3040
BFGSLineSearch:   11[ 22] 17:55:57  -121831.025882*       0.4493
BFGSLineSearch:   12[ 24] 19:28:24  -121831.035367*       0.3863
BFGSLineSearch:   13[ 26] 20:57:50  -121831.045903*       0.5086
BFGSLineSearch:   14[ 27] 21:47:16  -121831.059778*       0.4583
BFGSLineSearch:   15[ 28] 22:27:34  -121831.072377*       0.6921
BFGSLineSearch:   16[ 30] 23:35:57  -121831.083757*       0.4355
BFGSLineSearch:   17[ 31] 00:07:21  -121831.092927*       0.6585
BFGSLineSearch:   18[ 33] 01:38:24  -121831.101833*       0.2714
BFGSLineSearch:   19[ 34] 02:10:43  -121831.112542*       0.2397
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:57:10  -121829.905131*       1.1787
BFGSLineSearch:    1[  2] 01:01:39  -121830.128530*       0.5064
BFGSLineSearch:    2[  4] 03:09:10  -121830.155276*       0.8156
BFGSLineSearch:    3[  6] 05:12:11  -121830.176811*       0.4584
BFGSLineSearch:    4[  7] 06:16:47  -121830.182049*       0.3952
BFGSLineSearch:    5[  9] 09:06:52  -121830.186311*       0.2568
BFGSLineSearch:    6[ 10] 10:29:13  -121830.193498*       0.3205
BFGSLineSearch:    7[ 11] 11:16:50  -121830.197113*       0.2465
BFGSLineSearch:    8[ 13] 13:51:56  -121830.200099*       0.1461
BFGSLineSearch:    9[ 14] 14:38:47  -121830.204049*       0.1970
BFGSLineSearch:   10[ 16] 17:11:25  -121830.213041*       0.4100
BFGSLineSearch:   11[ 17] 18:08:50  -121830.219645*       0.1793
BFGSLineSearch:   12[ 18] 19:06:42  -121830.225995*       0.1513
BFGSLineSearch:   13[ 19] 20:02:15  -121830.230893*       0.1465
BFGSLineSearch:   14[ 20] 21:02:54  -121830.234687*       0.2048
BFGSLineSearch:   15[ 22] 22:57:49  -121830.236257*       0.2096
BFGSLineSearch:   16[ 23] 23:43:42  -121830.237327*       0.1555
BFGSLineSearch:   17[ 24] 00:29:32  -121830.238339*       0.0633
BFGSLineSearch:   18[ 25] 01:14:14  -121830.238666*       0.0298
