                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 05:49:35  -180396.801663*       1.8722
BFGSLineSearch:    1[  2] 10:55:32  -180396.889945*       1.1325
BFGSLineSearch:    2[  4] 15:43:16  -180396.964495*       0.6918
BFGSLineSearch:    3[  6] 21:45:21  -180397.024384*       0.7195
BFGSLineSearch:    4[  8] 02:47:29  -180397.089808*       0.7548
BFGSLineSearch:    5[ 10] 08:07:52  -180397.129678*       0.8131
BFGSLineSearch:    6[ 12] 13:12:18  -180397.162579*       0.5514
BFGSLineSearch:    7[ 14] 17:49:53  -180397.193693*       0.5951
BFGSLineSearch:    8[ 16] 23:36:04  -180397.227774*       0.5793
BFGSLineSearch:    9[ 18] 03:58:53  -180397.264231*       0.7450
BFGSLineSearch:   10[ 20] 09:36:29  -180397.315592*       0.7339
BFGSLineSearch:   11[ 22] 12:52:03  -180397.339971*       0.5468
BFGSLineSearch:   12[ 24] 17:32:35  -180397.363553*       0.4575
BFGSLineSearch:   13[ 26] 21:56:53  -180397.379147*       0.3599
