                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 00:11:34  -178418.689898*       1.1304
BFGSLineSearch:    1[  2] 01:27:23  -178418.715724*       0.5057
BFGSLineSearch:    2[  4] 02:50:17  -178418.740838*       0.4229
BFGSLineSearch:    3[  6] 04:09:37  -178418.757391*       0.5392
BFGSLineSearch:    4[  8] 05:36:14  -178418.771518*       0.5038
BFGSLineSearch:    5[ 10] 07:03:49  -178418.779719*       0.3435
BFGSLineSearch:    6[ 12] 08:29:59  -178418.784078*       0.3861
BFGSLineSearch:    7[ 14] 09:44:18  -178418.787561*       0.3725
BFGSLineSearch:    8[ 16] 10:46:55  -178418.790222*       0.2168
BFGSLineSearch:    9[ 18] 11:50:39  -178418.793400*       0.3255
BFGSLineSearch:   10[ 20] 13:14:39  -178418.796116*       0.3112
BFGSLineSearch:   11[ 22] 14:10:01  -178418.799998*       0.2636
BFGSLineSearch:   12[ 24] 15:48:50  -178418.804211*       0.4063
BFGSLineSearch:   13[ 26] 17:25:38  -178418.808119*       0.4211
BFGSLineSearch:   14[ 27] 18:06:35  -178418.811922*       0.4388
BFGSLineSearch:   15[ 29] 19:29:14  -178418.817432*       0.3648
BFGSLineSearch:   16[ 31] 21:02:01  -178418.828752*       0.2618
BFGSLineSearch:   17[ 35] 00:15:23  -178418.836827*       0.4131
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:49:40  -178419.636586*       1.1129
BFGSLineSearch:    1[  1] 01:32:46  -178419.719456*       1.0819
BFGSLineSearch:    2[  3] 04:36:59  -178419.753264*       0.9035
BFGSLineSearch:    3[  5] 09:39:29  -178419.764443*       0.8173
BFGSLineSearch:    4[  7] 13:26:34  -178419.778380*       0.7117
BFGSLineSearch:    5[  9] 16:35:01  -178419.799846*       0.3992
BFGSLineSearch:    6[ 11] 21:05:15  -178419.811175*       0.5185
BFGSLineSearch:    7[ 12] 22:39:35  -178419.820979*       0.4682
BFGSLineSearch:    8[ 13] 00:10:56  -178419.836387*       0.3508
BFGSLineSearch:    9[ 14] 01:21:12  -178419.847939*       0.3011
BFGSLineSearch:   10[ 15] 02:01:52  -178419.854715*       0.2325
BFGSLineSearch:   11[ 16] 03:29:36  -178419.860921*       0.2478
BFGSLineSearch:   12[ 17] 04:56:43  -178419.864187*       0.1372
BFGSLineSearch:   13[ 18] 05:42:28  -178419.866087*       0.1346
BFGSLineSearch:   14[ 19] 06:24:39  -178419.867302*       0.0891
BFGSLineSearch:   15[ 33] 12:55:36  -178419.867640*       0.0848
BFGSLineSearch:   16[ 52] 22:11:16  -178419.867858*       0.0651
BFGSLineSearch:   17[ 53] 22:45:45  -178419.868211*       0.0439
