                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 00:10:15  -178418.706278*       1.1039
BFGSLineSearch:    1[  2] 01:24:11  -178418.731051*       0.4918
BFGSLineSearch:    2[  4] 02:46:28  -178418.754943*       0.3959
BFGSLineSearch:    3[  6] 04:06:18  -178418.770398*       0.5351
BFGSLineSearch:    4[  8] 05:25:01  -178418.783400*       0.4986
BFGSLineSearch:    5[ 10] 06:53:22  -178418.792055*       0.3600
BFGSLineSearch:    6[ 12] 08:09:26  -178418.797074*       0.3533
BFGSLineSearch:    7[ 14] 09:30:05  -178418.800841*       0.3048
BFGSLineSearch:    8[ 16] 10:45:04  -178418.804201*       0.1838
BFGSLineSearch:    9[ 18] 11:44:54  -178418.808255*       0.2731
BFGSLineSearch:   10[ 20] 13:11:40  -178418.813486*       0.3817
BFGSLineSearch:   11[ 22] 14:03:54  -178418.820829*       0.3816
BFGSLineSearch:   12[ 24] 15:18:57  -178418.829282*       0.4966
BFGSLineSearch:   13[ 26] 16:43:22  -178418.837475*       0.3887
BFGSLineSearch:   14[ 27] 17:27:06  -178418.847444*       0.4934
BFGSLineSearch:   15[ 29] 18:56:55  -178418.859899*       0.3651
BFGSLineSearch:   16[ 31] 20:30:15  -178418.869188*       0.3113
BFGSLineSearch:   17[ 33] 22:05:28  -178418.875478*       0.3201
BFGSLineSearch:   18[ 35] 23:24:49  -178418.880466*       0.2901
BFGSLineSearch:   19[ 37] 00:46:09  -178418.886037*       0.2925
BFGSLineSearch:   20[ 39] 02:18:51  -178418.891135*       0.3451
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:22:10  -178419.652625*       1.1048
BFGSLineSearch:    1[  1] 23:38:06  -178419.725372*       1.2255
BFGSLineSearch:    2[  2] 01:13:30  -178419.790901*       1.0436
BFGSLineSearch:    3[  4] 05:01:08  -178419.812257*       0.8582
BFGSLineSearch:    4[  5] 06:38:30  -178419.830858*       0.6445
BFGSLineSearch:    5[  7] 09:06:38  -178419.842644*       0.3794
BFGSLineSearch:    6[  9] 10:55:33  -178419.848090*       0.2226
BFGSLineSearch:    7[ 10] 12:01:28  -178419.854106*       0.1846
BFGSLineSearch:    8[ 11] 13:27:25  -178419.860186*       0.2364
BFGSLineSearch:    9[ 12] 14:55:41  -178419.865277*       0.2384
BFGSLineSearch:   10[ 13] 15:51:21  -178419.868051*       0.1323
BFGSLineSearch:   11[ 15] 17:11:24  -178419.868806*       0.0995
BFGSLineSearch:   12[ 16] 17:57:05  -178419.869398*       0.0663
BFGSLineSearch:   13[ 17] 18:40:05  -178419.870050*       0.0465
