                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:54:13  -178012.262889*       1.0585
BFGSLineSearch:    1[  2] 01:49:40  -178012.284892*       0.5245
BFGSLineSearch:    2[  4] 03:36:43  -178012.302887*       0.4739
BFGSLineSearch:    3[  6] 05:18:19  -178012.330557*       0.4470
BFGSLineSearch:    4[  8] 06:47:02  -178012.335053*       0.4010
BFGSLineSearch:    5[ 10] 07:46:21  -178012.338412*       0.2573
BFGSLineSearch:    6[ 12] 09:03:59  -178012.341743*       0.1478
BFGSLineSearch:    7[ 14] 10:44:25  -178012.344702*       0.1978
BFGSLineSearch:    8[ 16] 12:07:43  -178012.347625*       0.3094
BFGSLineSearch:    9[ 18] 14:06:14  -178012.350392*       0.3686
BFGSLineSearch:   10[ 20] 15:37:25  -178012.354416*       0.5110
BFGSLineSearch:   11[ 22] 17:13:13  -178012.359607*       0.3580
BFGSLineSearch:   12[ 24] 18:48:48  -178012.364870*       0.2548
BFGSLineSearch:   13[ 26] 20:43:52  -178012.373626*       0.3419
BFGSLineSearch:   14[ 28] 22:53:38  -178012.379376*       0.2237
BFGSLineSearch:   15[ 30] 01:04:41  -178012.385281*       0.3302
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 07:39:50  -178013.208969*       1.0465
BFGSLineSearch:    1[  1] 08:59:48  -178013.285659*       0.8841
BFGSLineSearch:    2[  3] 15:01:32  -178013.319258*       0.4515
BFGSLineSearch:    3[  5] 04:11:04  -178013.336418*       0.4264
BFGSLineSearch:    4[  7] 12:45:58  -178013.343788*       0.4091
BFGSLineSearch:    5[  8] 14:26:52  -178013.352367*       0.4175
BFGSLineSearch:    6[ 10] 19:28:59  -178013.356918*       0.3461
BFGSLineSearch:    7[ 12] 22:48:50  -178013.362589*       0.1855
BFGSLineSearch:    8[ 13] 23:39:39  -178013.366068*       0.1469
BFGSLineSearch:    9[ 15] 01:21:25  -178013.367336*       0.1361
BFGSLineSearch:   10[ 17] 03:45:38  -178013.368817*       0.2831
BFGSLineSearch:   11[ 18] 04:50:15  -178013.372966*       0.1998
BFGSLineSearch:   12[ 19] 06:05:05  -178013.380026*       0.4632
BFGSLineSearch:   13[ 21] 09:01:59  -178013.383841*       0.5000
BFGSLineSearch:   14[ 23] 11:03:54  -178013.397909*       0.3160
BFGSLineSearch:   15[ 24] 11:57:22  -178013.406426*       0.2831
BFGSLineSearch:   16[ 25] 12:49:26  -178013.412848*       0.2902
BFGSLineSearch:   17[ 26] 14:29:07  -178013.415400*       0.1356
BFGSLineSearch:   18[ 27] 15:28:16  -178013.417320*       0.1020
BFGSLineSearch:   19[ 28] 15:55:55  -178013.418440*       0.0491
