                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:56:17  -178012.292463*       1.0598
BFGSLineSearch:    1[  2] 01:44:41  -178012.313306*       0.4731
BFGSLineSearch:    2[  4] 03:31:49  -178012.327846*       0.4507
BFGSLineSearch:    3[  6] 05:13:20  -178012.352167*       0.3908
BFGSLineSearch:    4[  8] 06:49:22  -178012.356842*       0.3587
BFGSLineSearch:    5[ 10] 07:43:53  -178012.360082*       0.2254
BFGSLineSearch:    6[ 12] 08:55:23  -178012.363964*       0.2906
BFGSLineSearch:    7[ 14] 10:40:52  -178012.367810*       0.1755
BFGSLineSearch:    8[ 16] 11:54:38  -178012.372010*       0.3695
BFGSLineSearch:    9[ 18] 13:43:26  -178012.378534*       0.3950
BFGSLineSearch:   10[ 20] 15:33:16  -178012.383508*       0.4302
BFGSLineSearch:   11[ 21] 16:26:19  -178012.392795*       0.6519
BFGSLineSearch:   12[ 23] 18:24:07  -178012.400330*       0.6126
BFGSLineSearch:   13[ 25] 20:15:20  -178012.411150*       0.3517
BFGSLineSearch:   14[ 27] 22:25:16  -178012.415908*       0.2134
BFGSLineSearch:   15[ 29] 23:46:29  -178012.418976*       0.1608
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 02:18:33  -178013.238498*       1.0536
BFGSLineSearch:    1[  1] 04:20:19  -178013.325549*       0.6232
BFGSLineSearch:    2[  3] 10:08:04  -178013.347206*       0.5161
BFGSLineSearch:    3[  5] 13:28:55  -178013.361878*       0.2772
BFGSLineSearch:    4[  7] 17:06:39  -178013.364813*       0.1640
BFGSLineSearch:    5[  8] 19:20:29  -178013.368103*       0.1870
BFGSLineSearch:    6[ 10] 23:03:11  -178013.369936*       0.2070
BFGSLineSearch:    7[ 12] 02:19:38  -178013.372736*       0.2101
BFGSLineSearch:    8[ 13] 03:15:24  -178013.375109*       0.1992
BFGSLineSearch:    9[ 15] 06:53:10  -178013.377623*       0.2249
BFGSLineSearch:   10[ 16] 08:00:57  -178013.381150*       0.2818
BFGSLineSearch:   11[ 18] 11:28:47  -178013.383782*       0.2407
BFGSLineSearch:   12[ 19] 13:22:38  -178013.390558*       0.1484
BFGSLineSearch:   13[ 20] 14:20:30  -178013.395500*       0.1983
BFGSLineSearch:   14[ 21] 15:44:58  -178013.402061*       0.2164
BFGSLineSearch:   15[ 22] 17:15:37  -178013.409921*       0.2356
BFGSLineSearch:   16[ 23] 18:13:35  -178013.413649*       0.2127
BFGSLineSearch:   17[ 24] 19:22:55  -178013.417561*       0.1146
BFGSLineSearch:   18[ 25] 20:34:38  -178013.420201*       0.1446
BFGSLineSearch:   19[ 26] 21:38:53  -178013.421224*       0.1389
BFGSLineSearch:   20[ 27] 22:47:20  -178013.422096*       0.0793
BFGSLineSearch:   21[ 29] 00:56:42  -178013.422402*       0.0357
