                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 03:36:14   -96325.431713*       1.8838
BFGSLineSearch:    1[  2] 08:38:37   -96325.531392*       1.1533
BFGSLineSearch:    2[  4] 12:27:43   -96325.611694*       0.8611
BFGSLineSearch:    3[  6] 17:03:12   -96325.694484*       0.7521
BFGSLineSearch:    4[  8] 20:55:16   -96325.772300*       0.8993
BFGSLineSearch:    5[ 10] 01:14:10   -96325.832998*       0.9627
BFGSLineSearch:    6[ 12] 04:51:25   -96325.879107*       0.6922
BFGSLineSearch:    7[ 14] 08:07:05   -96325.926349*       0.6539
BFGSLineSearch:    8[ 16] 11:17:21   -96325.969812*       0.7868
BFGSLineSearch:    9[ 18] 14:40:16   -96326.006449*       0.6544
BFGSLineSearch:   10[ 20] 19:53:52   -96326.066618*       0.7220
BFGSLineSearch:   11[ 22] 23:45:52   -96326.089167*       0.5430
BFGSLineSearch:   12[ 24] 04:08:06   -96326.107438*       0.3743
BFGSLineSearch:   13[ 26] 08:20:27   -96326.121291*       0.3324
BFGSLineSearch:   14[ 28] 14:07:06   -96326.134056*       0.3038
BFGSLineSearch:   15[ 30] 20:07:32   -96326.151259*       0.4298
BFGSLineSearch:   16[ 32] 04:57:01   -96326.165834*       0.5775
