                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 00:14:21   -93941.537056*       1.2302
BFGSLineSearch:    1[  2] 02:44:46   -93941.659338*       1.8289
BFGSLineSearch:    2[  4] 05:52:08   -93941.797561*       1.4892
BFGSLineSearch:    3[  6] 08:18:23   -93941.853456*       0.4942
BFGSLineSearch:    4[  8] 10:13:49   -93941.860195*       0.3808
BFGSLineSearch:    5[ 10] 11:32:20   -93941.868457*       0.5028
BFGSLineSearch:    6[ 12] 13:21:24   -93941.883319*       0.4908
BFGSLineSearch:    7[ 14] 15:35:38   -93941.891055*       0.3091
BFGSLineSearch:    8[ 16] 17:04:30   -93941.896527*       0.3329
BFGSLineSearch:    9[ 17] 18:04:57   -93941.906242*       0.3953
BFGSLineSearch:   10[ 19] 19:42:02   -93941.915951*       0.4164
BFGSLineSearch:   11[ 21] 21:20:25   -93941.925807*       0.3969
BFGSLineSearch:   12[ 23] 23:04:08   -93941.931401*       0.2972
BFGSLineSearch:   13[ 24] 23:50:52   -93941.940297*       0.3350
BFGSLineSearch:   14[ 26] 01:50:11   -93941.947016*       0.2528
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:58:42   -93941.954699*       1.2396
BFGSLineSearch:    1[  1] 23:20:08   -93942.066689*       0.5158
BFGSLineSearch:    2[  3] 01:54:48   -93942.097538*       0.4340
BFGSLineSearch:    3[  5] 04:52:33   -93942.113727*       0.2060
BFGSLineSearch:    4[  7] 07:08:28   -93942.116997*       0.1876
BFGSLineSearch:    5[  9] 09:52:59   -93942.119300*       0.1538
BFGSLineSearch:    6[ 10] 11:07:59   -93942.121660*       0.1669
BFGSLineSearch:    7[ 12] 13:58:38   -93942.122899*       0.1211
BFGSLineSearch:    8[ 13] 15:15:44   -93942.125473*       0.2008
BFGSLineSearch:    9[ 15] 17:38:28   -93942.127278*       0.1970
BFGSLineSearch:   10[ 17] 21:23:14   -93942.130334*       0.1326
BFGSLineSearch:   11[ 18] 22:44:39   -93942.133674*       0.1259
BFGSLineSearch:   12[ 20] 01:45:46   -93942.135749*       0.1464
BFGSLineSearch:   13[ 21] 02:54:16   -93942.140062*       0.1020
BFGSLineSearch:   14[ 23] 04:46:56   -93942.145844*       0.2137
BFGSLineSearch:   15[ 24] 05:55:34   -93942.150133*       0.1732
BFGSLineSearch:   16[ 25] 07:48:58   -93942.155332*       0.1230
BFGSLineSearch:   17[ 26] 09:48:01   -93942.159922*       0.1014
BFGSLineSearch:   18[ 27] 11:43:20   -93942.161328*       0.0501
BFGSLineSearch:   19[ 29] 17:18:17   -93942.161889*       0.0628
BFGSLineSearch:   20[ 30] 19:48:44   -93942.162251*       0.0240
