                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:45:10  -206894.683482*       1.1492
BFGSLineSearch:    1[  2] 02:01:12  -206894.732371*       0.9497
BFGSLineSearch:    2[  4] 04:08:37  -206894.788878*       0.9608
BFGSLineSearch:    3[  6] 06:01:07  -206894.827227*       0.3349
BFGSLineSearch:    4[  8] 07:50:50  -206894.831817*       0.2826
BFGSLineSearch:    5[ 10] 09:12:58  -206894.837190*       0.3707
BFGSLineSearch:    6[ 12] 10:56:17  -206894.847337*       0.4291
BFGSLineSearch:    7[ 14] 13:17:53  -206894.852957*       0.2170
BFGSLineSearch:    8[ 16] 14:29:24  -206894.856688*       0.2695
BFGSLineSearch:    9[ 18] 15:59:57  -206894.864277*       0.1974
BFGSLineSearch:   10[ 20] 17:13:03  -206894.869773*       0.2470
BFGSLineSearch:   11[ 22] 19:04:10  -206894.877135*       0.2603
BFGSLineSearch:   12[ 24] 20:40:24  -206894.880874*       0.2243
BFGSLineSearch:   13[ 25] 21:28:56  -206894.888075*       0.1997
BFGSLineSearch:   14[ 27] 22:34:20  -206894.891518*       0.1187
BFGSLineSearch:   15[ 29] 23:49:34  -206894.893976*       0.1351
BFGSLineSearch:   16[ 30] 00:33:01  -206894.896751*       0.1399
BFGSLineSearch:   17[ 32] 01:36:53  -206894.898400*       0.1559
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:24:29  -206894.884031*       1.1544
BFGSLineSearch:    1[  1] 23:59:13  -206894.982209*       0.4654
BFGSLineSearch:    2[  3] 04:22:50  -206894.997761*       0.5144
BFGSLineSearch:    3[  5] 11:05:54  -206895.014702*       0.1939
BFGSLineSearch:    4[  7] 16:12:36  -206895.016289*       0.1844
BFGSLineSearch:    5[  9] 22:57:58  -206895.018331*       0.1216
BFGSLineSearch:    6[ 10] 02:52:05  -206895.019675*       0.2329
BFGSLineSearch:    7[ 12] 08:40:07  -206895.020552*       0.1908
BFGSLineSearch:    8[ 13] 13:02:20  -206895.022348*       0.1095
BFGSLineSearch:    9[ 15] 17:58:24  -206895.023145*       0.1448
BFGSLineSearch:   10[ 18] 23:50:49  -206895.026844*       0.1692
BFGSLineSearch:   11[ 19] 02:39:56  -206895.030335*       0.1357
BFGSLineSearch:   12[ 20] 04:24:33  -206895.033862*       0.0724
BFGSLineSearch:   13[ 21] 07:10:26  -206895.037755*       0.1336
BFGSLineSearch:   14[ 22] 09:59:05  -206895.042137*       0.1532
BFGSLineSearch:   15[ 23] 11:48:00  -206895.045725*       0.1222
BFGSLineSearch:   16[ 24] 13:41:08  -206895.047168*       0.1278
BFGSLineSearch:   17[ 25] 15:41:05  -206895.047994*       0.0504
BFGSLineSearch:   18[ 28] 21:35:59  -206895.048371*       0.0563
BFGSLineSearch:   19[ 29] 00:18:33  -206895.048515*       0.0545
