                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:43:02   -86001.992579*       4.8555
BFGSLineSearch:    1[  2] 00:53:51   -86002.345945*       4.0421
BFGSLineSearch:    2[  4] 02:10:52   -86002.594537*       1.8828
BFGSLineSearch:    3[  6] 03:38:46   -86002.988549*       2.0558
BFGSLineSearch:    4[  8] 04:59:04   -86003.168967*       1.9338
BFGSLineSearch:    5[ 10] 06:14:58   -86003.333029*       1.6487
BFGSLineSearch:    6[ 11] 06:53:47   -86003.598898*       2.0941
BFGSLineSearch:    7[ 13] 08:03:51   -86003.738515*       1.7588
BFGSLineSearch:    8[ 15] 09:13:50   -86003.840073*       1.2193
BFGSLineSearch:    9[ 17] 10:28:20   -86003.934152*       0.8495
BFGSLineSearch:   10[ 19] 11:15:26   -86003.999743*       0.7731
BFGSLineSearch:   11[ 21] 12:15:31   -86004.061695*       1.0084
BFGSLineSearch:   12[ 23] 13:16:24   -86004.114732*       0.6656
BFGSLineSearch:   13[ 25] 14:26:49   -86004.156624*       0.7628
BFGSLineSearch:   14[ 27] 15:38:11   -86004.196126*       0.6835
BFGSLineSearch:   15[ 29] 16:30:11   -86004.242285*       0.7018
BFGSLineSearch:   16[ 31] 17:22:21   -86004.285286*       0.5850
BFGSLineSearch:   17[ 33] 18:21:10   -86004.326098*       0.6338
BFGSLineSearch:   18[ 35] 19:33:01   -86004.366998*       0.4432
BFGSLineSearch:   19[ 37] 20:30:30   -86004.386690*       0.4746
BFGSLineSearch:   20[ 39] 21:12:30   -86004.410620*       0.7134
BFGSLineSearch:   21[ 41] 22:02:12   -86004.438955*       0.5017
BFGSLineSearch:   22[ 43] 23:02:32   -86004.454819*       0.4960
BFGSLineSearch:   23[ 45] 23:56:19   -86004.472044*       0.4104
BFGSLineSearch:   24[ 47] 00:52:25   -86004.487992*       0.2845
BFGSLineSearch:   25[ 49] 01:48:07   -86004.497910*       0.4722
BFGSLineSearch:   26[ 51] 02:45:58   -86004.510670*       0.4114
BFGSLineSearch:   27[ 53] 03:44:40   -86004.522924*       0.4136
BFGSLineSearch:   28[ 55] 04:16:50   -86004.533691*       0.3782
BFGSLineSearch:   29[ 57] 05:13:37   -86004.540617*       0.2571
BFGSLineSearch:   30[ 58] 05:32:04   -86004.547547*       0.3691
BFGSLineSearch:   31[ 59] 05:48:33   -86004.558426*       0.4832
BFGSLineSearch:   32[ 61] 06:33:40   -86004.569766*       0.3919
BFGSLineSearch:   33[ 63] 07:16:41   -86004.583379*       0.3712
BFGSLineSearch:   34[ 65] 08:13:04   -86004.592523*       0.2724
BFGSLineSearch:   35[ 67] 09:24:50   -86004.608138*       0.3806
BFGSLineSearch:   36[ 69] 10:01:58   -86004.624250*       0.5350
BFGSLineSearch:   37[ 71] 10:59:48   -86004.640175*       0.3073
BFGSLineSearch:   38[ 72] 11:29:59   -86004.659035*       0.4876
BFGSLineSearch:   39[ 73] 11:49:06   -86004.670079*       0.5013
BFGSLineSearch:   40[ 75] 12:40:55   -86004.684192*       0.3244
BFGSLineSearch:   41[ 77] 13:19:59   -86004.691059*       0.2025
BFGSLineSearch:   42[ 78] 13:42:03   -86004.701291*       0.3121
BFGSLineSearch:   43[ 80] 14:55:01   -86004.707372*       0.2551
BFGSLineSearch:   44[ 81] 15:19:15   -86004.720035*       0.2554
BFGSLineSearch:   45[ 82] 15:49:33   -86004.730042*       0.2617
BFGSLineSearch:   46[ 83] 16:06:43   -86004.740482*       0.2528
BFGSLineSearch:   47[ 84] 16:39:15   -86004.755388*       0.2512
BFGSLineSearch:   48[ 85] 17:04:14   -86004.769111*       0.2430
BFGSLineSearch:   49[ 86] 17:23:57   -86004.785679*       0.2857
BFGSLineSearch:   50[ 87] 17:46:28   -86004.801963*       0.3008
BFGSLineSearch:   51[ 89] 18:37:43   -86004.810026*       0.2288
BFGSLineSearch:   52[ 90] 18:51:21   -86004.823986*       0.3072
BFGSLineSearch:   53[ 91] 19:16:15   -86004.835199*       0.3013
BFGSLineSearch:   54[ 92] 19:36:41   -86004.847191*       0.2509
BFGSLineSearch:   55[ 93] 20:04:35   -86004.863430*       0.3219
BFGSLineSearch:   56[ 94] 20:31:23   -86004.873527*       0.3245
BFGSLineSearch:   57[ 95] 20:50:52   -86004.882893*       0.2691
BFGSLineSearch:   58[ 96] 21:05:42   -86004.894057*       0.2805
BFGSLineSearch:   59[ 97] 21:35:22   -86004.909123*       0.3762
BFGSLineSearch:   60[ 98] 22:12:57   -86004.925932*       0.2810
BFGSLineSearch:   61[ 99] 22:42:37   -86004.940289*       0.3204
BFGSLineSearch:   62[100] 23:18:52   -86004.953900*       0.3235
BFGSLineSearch:   63[101] 23:45:16   -86004.964508*       0.3453
BFGSLineSearch:   64[103] 00:43:49   -86004.973378*       0.1662
BFGSLineSearch:   65[104] 01:08:43   -86004.983560*       0.2066
BFGSLineSearch:   66[105] 01:26:40   -86004.991704*       0.1992
BFGSLineSearch:   67[106] 01:47:52   -86004.997202*       0.2222
