                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:14:26   -84027.221479*      50.6072
BFGSLineSearch:    1[  1] 23:30:31   -84219.727842*      16.5159
BFGSLineSearch:    2[  3] 00:05:47   -84279.956007*      24.8817
BFGSLineSearch:    3[  4] 00:22:29   -84300.786311*      42.8538
BFGSLineSearch:    4[  7] 01:09:22   -84356.355624*      82.9357
BFGSLineSearch:    5[ 11] 02:08:57   -84426.815402*      91.1304
BFGSLineSearch:    6[ 15] 03:16:12   -84521.548251*      77.3068
BFGSLineSearch:    7[ 18] 04:08:26   -84580.572991*      58.7929
BFGSLineSearch:    8[ 20] 04:48:24   -84619.623331*      48.7578
BFGSLineSearch:    9[ 22] 05:31:11   -84669.552914*      16.3165
BFGSLineSearch:   10[ 24] 06:14:17   -84694.740821*      24.6738
BFGSLineSearch:   11[ 25] 06:36:18   -84702.104492*       9.2720
BFGSLineSearch:   12[ 26] 06:57:50   -84710.906790*       5.0692
BFGSLineSearch:   13[ 27] 07:17:32   -84716.642907*       8.7742
BFGSLineSearch:   14[ 28] 07:38:11   -84718.888107*       6.7002
BFGSLineSearch:   15[ 31] 08:42:04   -84724.208687*       6.1722
BFGSLineSearch:   16[ 33] 09:23:15   -84725.458313*       4.8302
BFGSLineSearch:   17[ 34] 09:44:02   -84728.160347*       5.9368
BFGSLineSearch:   18[ 36] 10:25:15   -84729.639945*       3.1065
BFGSLineSearch:   19[ 38] 11:10:51   -84730.435799*       4.7490
BFGSLineSearch:   20[ 40] 11:51:12   -84731.353388*       2.7360
BFGSLineSearch:   21[ 42] 12:32:08   -84731.899394*       2.3815
BFGSLineSearch:   22[ 44] 13:14:38   -84732.385719*       2.5249
BFGSLineSearch:   23[ 46] 13:54:32   -84732.991271*       3.5378
BFGSLineSearch:   24[ 47] 14:13:10   -84733.535662*       3.1297
BFGSLineSearch:   25[ 48] 14:33:35   -84734.318042*       3.2159
BFGSLineSearch:   26[ 50] 15:16:53   -84735.063681*       1.4830
BFGSLineSearch:   27[ 51] 15:34:54   -84735.645907*       4.2970
BFGSLineSearch:   28[ 53] 16:18:08   -84736.287813*       2.0738
BFGSLineSearch:   29[ 55] 16:56:35   -84737.053557*       2.0288
BFGSLineSearch:   30[ 56] 17:17:54   -84737.571062*       2.0569
BFGSLineSearch:   31[ 58] 17:55:01   -84738.105209*       2.0299
BFGSLineSearch:   32[ 59] 18:13:41   -84738.570714*       2.1443
BFGSLineSearch:   33[ 60] 18:34:40   -84739.005599*       1.9516
BFGSLineSearch:   34[ 61] 18:52:27   -84739.330431*       2.6710
BFGSLineSearch:   35[ 63] 19:29:25   -84739.745043*       1.6257
BFGSLineSearch:   36[ 65] 20:04:56   -84740.122147*       2.2730
BFGSLineSearch:   37[ 66] 20:20:25   -84740.582423*       1.6663
BFGSLineSearch:   38[ 67] 20:38:55   -84741.043244*       2.6233
BFGSLineSearch:   39[ 69] 21:19:17   -84741.507592*       1.5322
BFGSLineSearch:   40[ 70] 21:37:26   -84742.043138*       1.0770
BFGSLineSearch:   41[ 72] 22:16:44   -84742.354718*       1.2631
BFGSLineSearch:   42[ 74] 22:52:32   -84742.644079*       0.9028
BFGSLineSearch:   43[ 75] 23:11:07   -84742.878759*       1.4226
BFGSLineSearch:   44[ 76] 23:25:16   -84743.184905*       1.8229
BFGSLineSearch:   45[ 78] 00:00:29   -84743.429543*       0.9345
BFGSLineSearch:   46[ 80] 00:34:10   -84743.676212*       1.0532
BFGSLineSearch:   47[ 82] 01:09:39   -84743.904010*       0.9043
BFGSLineSearch:   48[ 84] 01:42:34   -84744.096805*       0.8702
BFGSLineSearch:   49[ 85] 02:02:06   -84744.286426*       0.7733
BFGSLineSearch:   50[ 86] 02:16:48   -84744.418082*       0.5908
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:46:34   -84025.955397*       1.3536
BFGSLineSearch:    1[  2] 20:50:47   -84025.987584*       0.9494
BFGSLineSearch:    2[  4] 22:03:21   -84026.054474*       1.0589
BFGSLineSearch:    3[  6] 22:56:13   -84026.130005*       0.8645
BFGSLineSearch:    4[  8] 23:58:32   -84026.202745*       1.1003
BFGSLineSearch:    5[ 10] 01:06:33   -84026.272001*       0.9458
BFGSLineSearch:    6[ 12] 02:17:41   -84026.322520*       0.6976
BFGSLineSearch:    7[ 13] 02:49:10   -84026.394541*       0.9328
BFGSLineSearch:    8[ 14] 03:19:00   -84026.460710*       1.1562
BFGSLineSearch:    9[ 15] 03:43:17   -84026.533759*       0.7930
BFGSLineSearch:   10[ 17] 04:58:43   -84026.558057*       0.8692
BFGSLineSearch:   11[ 18] 05:24:08   -84026.586839*       1.0872
BFGSLineSearch:   12[ 19] 05:50:08   -84026.643498*       0.7596
BFGSLineSearch:   13[ 20] 06:13:50   -84026.673353*       0.7866
BFGSLineSearch:   14[ 21] 06:36:06   -84026.712462*       0.4241
BFGSLineSearch:   15[ 22] 07:01:45   -84026.731036*       0.3404
BFGSLineSearch:   16[ 23] 07:18:37   -84026.737976*       0.3612
BFGSLineSearch:   17[ 24] 07:38:10   -84026.740948*       0.1905
BFGSLineSearch:   18[ 25] 07:49:08   -84026.744809*       0.1819
BFGSLineSearch:   19[ 26] 08:51:44   -84026.746841*       0.1594
BFGSLineSearch:   20[ 27] 09:09:13   -84026.748090*       0.1197
BFGSLineSearch:   21[ 28] 09:18:36   -84026.749041*       0.0808
BFGSLineSearch:   22[ 29] 09:28:19   -84026.749950*       0.0813
BFGSLineSearch:   23[ 30] 09:41:11   -84026.751312*       0.0850
BFGSLineSearch:   24[ 31] 09:54:06   -84026.752738*       0.0892
BFGSLineSearch:   25[ 32] 10:05:53   -84026.753837*       0.0611
BFGSLineSearch:   26[ 33] 10:15:17   -84026.755062*       0.0744
BFGSLineSearch:   27[ 34] 10:24:48   -84026.756379*       0.0623
BFGSLineSearch:   28[ 36] 10:43:28   -84026.758150*       0.0849
BFGSLineSearch:   29[ 37] 10:51:20   -84026.758818*       0.0575
BFGSLineSearch:   30[ 38] 11:03:05   -84026.759469*       0.1874
BFGSLineSearch:   31[ 39] 11:16:55   -84026.760174*       0.0469
