                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:32:22   -83620.836004*      50.6120
BFGSLineSearch:    1[  1] 22:49:29   -83813.414981*      16.4973
BFGSLineSearch:    2[  3] 23:23:20   -83872.308314*      21.1817
BFGSLineSearch:    3[  5] 23:53:40   -83893.009210*      26.2652
BFGSLineSearch:    4[  7] 00:27:31   -83935.481454*      81.6667
BFGSLineSearch:    5[ 10] 01:13:45   -84011.343703*     126.9943
BFGSLineSearch:    6[ 12] 01:45:53   -84056.836323*     149.1681
BFGSLineSearch:    7[ 16] 03:02:32   -84150.248678*      76.7003
BFGSLineSearch:    8[ 19] 04:00:22   -84211.166979*      35.7110
BFGSLineSearch:    9[ 21] 04:41:37   -84245.865213*      30.3347
BFGSLineSearch:   10[ 23] 05:29:51   -84267.820055*      19.7723
BFGSLineSearch:   11[ 24] 05:52:06   -84284.780327*      11.0201
BFGSLineSearch:   12[ 25] 06:13:58   -84295.821647*       5.9905
BFGSLineSearch:   13[ 26] 06:34:54   -84302.464575*       6.4981
BFGSLineSearch:   14[ 27] 06:56:18   -84307.116798*       7.9219
BFGSLineSearch:   15[ 28] 07:17:26   -84309.724051*       5.9546
BFGSLineSearch:   16[ 29] 07:35:32   -84311.741059*       5.1538
BFGSLineSearch:   17[ 31] 08:16:46   -84313.028435*       3.8956
BFGSLineSearch:   18[ 33] 08:53:46   -84314.204719*       2.1847
BFGSLineSearch:   19[ 35] 09:35:49   -84315.211125*       2.8612
BFGSLineSearch:   20[ 37] 10:17:14   -84316.030096*       2.2302
BFGSLineSearch:   21[ 39] 10:57:38   -84316.668363*       1.7410
BFGSLineSearch:   22[ 41] 11:34:48   -84317.410027*       1.6470
BFGSLineSearch:   23[ 43] 12:17:07   -84318.045101*       2.9313
BFGSLineSearch:   24[ 45] 12:59:38   -84318.615357*       2.2374
BFGSLineSearch:   25[ 46] 13:19:51   -84319.272725*       2.1142
BFGSLineSearch:   26[ 48] 14:05:09   -84319.974867*       2.5305
BFGSLineSearch:   27[ 49] 14:21:52   -84320.700152*       2.6289
BFGSLineSearch:   28[ 50] 14:43:57   -84321.760728*       2.1089
BFGSLineSearch:   29[ 53] 15:34:37   -84323.032865*       3.6623
BFGSLineSearch:   30[ 55] 16:09:38   -84323.519377*       3.9023
BFGSLineSearch:   31[ 57] 16:53:39   -84323.932286*       3.0380
BFGSLineSearch:   32[ 59] 17:34:06   -84324.602070*       2.0796
BFGSLineSearch:   33[ 61] 18:02:37   -84324.990513*       1.3622
BFGSLineSearch:   34[ 62] 18:19:47   -84325.318458*       0.9675
BFGSLineSearch:   35[ 63] 18:38:18   -84325.519565*       0.8235
BFGSLineSearch:   36[ 64] 18:54:02   -84325.698548*       1.3960
BFGSLineSearch:   37[ 65] 19:17:15   -84325.960332*       1.4197
BFGSLineSearch:   38[ 66] 19:34:40   -84326.274388*       1.3934
BFGSLineSearch:   39[ 67] 19:54:58   -84326.736615*       2.2639
BFGSLineSearch:   40[ 68] 20:16:35   -84327.301493*       1.8498
BFGSLineSearch:   41[ 70] 21:01:08   -84327.823484*       2.3058
BFGSLineSearch:   42[ 72] 21:38:45   -84328.493052*       1.5282
BFGSLineSearch:   43[ 74] 22:18:43   -84329.015227*       1.4398
BFGSLineSearch:   44[ 76] 22:59:05   -84329.437882*       1.3255
BFGSLineSearch:   45[ 78] 23:39:38   -84329.747790*       1.1730
BFGSLineSearch:   46[ 79] 23:56:54   -84330.063887*       1.0629
BFGSLineSearch:   47[ 80] 00:15:37   -84330.405313*       1.0507
BFGSLineSearch:   48[ 81] 00:37:40   -84330.653479*       1.2775
BFGSLineSearch:   49[ 82] 00:55:31   -84330.963756*       1.3376
BFGSLineSearch:   50[ 83] 01:13:10   -84331.257552*       1.2052
BFGSLineSearch:   51[ 85] 01:49:15   -84331.501485*       1.1819
BFGSLineSearch:   52[ 86] 02:10:34   -84331.773624*       1.3520
BFGSLineSearch:   53[ 87] 02:24:49   -84332.070490*       0.6921
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 20:04:56   -83619.572963*       1.3790
BFGSLineSearch:    1[  2] 21:29:41   -83619.602925*       1.0229
BFGSLineSearch:    2[  4] 22:44:42   -83619.645644*       0.8401
BFGSLineSearch:    3[  6] 23:46:07   -83619.693417*       1.1042
BFGSLineSearch:    4[  8] 00:39:20   -83619.733989*       0.8234
BFGSLineSearch:    5[ 10] 01:31:16   -83619.765410*       0.6658
BFGSLineSearch:    6[ 12] 02:00:26   -83619.810585*       0.8903
BFGSLineSearch:    7[ 13] 02:20:46   -83619.887122*       1.3380
BFGSLineSearch:    8[ 15] 03:04:41   -83619.934479*       1.1964
BFGSLineSearch:    9[ 17] 03:49:32   -83620.005099*       0.7205
BFGSLineSearch:   10[ 18] 04:09:26   -83620.062763*       0.7679
BFGSLineSearch:   11[ 20] 05:08:53   -83620.097536*       0.6607
BFGSLineSearch:   12[ 22] 06:08:38   -83620.122355*       0.8840
BFGSLineSearch:   13[ 24] 06:59:07   -83620.152329*       0.4167
BFGSLineSearch:   14[ 26] 07:46:24   -83620.165246*       0.4191
BFGSLineSearch:   15[ 28] 08:24:20   -83620.182096*       0.4582
BFGSLineSearch:   16[ 29] 08:43:53   -83620.200832*       0.5299
BFGSLineSearch:   17[ 30] 09:04:20   -83620.212504*       0.5567
BFGSLineSearch:   18[ 32] 09:40:28   -83620.221009*       0.3876
BFGSLineSearch:   19[ 33] 09:52:48   -83620.230602*       0.2807
BFGSLineSearch:   20[ 35] 10:12:44   -83620.241318*       0.4560
BFGSLineSearch:   21[ 36] 10:33:21   -83620.248346*       0.2956
BFGSLineSearch:   22[ 37] 10:45:46   -83620.257509*       0.2167
BFGSLineSearch:   23[ 38] 10:54:19   -83620.269728*       0.3848
BFGSLineSearch:   24[ 39] 11:11:41   -83620.291466*       0.4519
BFGSLineSearch:   25[ 40] 11:26:43   -83620.317295*       0.5426
BFGSLineSearch:   26[ 41] 11:39:30   -83620.335806*       0.2628
BFGSLineSearch:   27[ 42] 11:52:14   -83620.346912*       0.2374
BFGSLineSearch:   28[ 43] 12:05:49   -83620.353017*       0.2823
BFGSLineSearch:   29[ 44] 12:20:40   -83620.358153*       0.2873
BFGSLineSearch:   30[ 45] 12:33:23   -83620.360971*       0.1634
BFGSLineSearch:   31[ 46] 12:49:49   -83620.363661*       0.1244
BFGSLineSearch:   32[ 47] 13:00:25   -83620.365570*       0.1164
BFGSLineSearch:   33[ 48] 13:13:12   -83620.367167*       0.1135
BFGSLineSearch:   34[ 49] 13:26:10   -83620.368177*       0.0949
BFGSLineSearch:   35[ 52] 14:02:50   -83620.369223*       0.0970
BFGSLineSearch:   36[ 54] 14:24:18   -83620.370483*       0.1104
BFGSLineSearch:   37[ 55] 14:33:53   -83620.371268*       0.0517
BFGSLineSearch:   38[ 56] 14:42:34   -83620.372012*       0.0734
BFGSLineSearch:   39[ 58] 15:06:19   -83620.373259*       0.1609
BFGSLineSearch:   40[ 60] 15:31:03   -83620.376290*       0.3026
BFGSLineSearch:   41[ 63] 16:40:10   -83620.384818*       0.3546
BFGSLineSearch:   42[ 65] 17:27:03   -83620.388415*       0.4652
BFGSLineSearch:   43[ 67] 18:11:22   -83620.398253*       0.9859
BFGSLineSearch:   44[ 68] 18:42:49   -83620.417536*       0.6475
BFGSLineSearch:   45[ 69] 19:00:00   -83620.428463*       1.0488
BFGSLineSearch:   46[ 71] 19:35:34   -83620.440200*       0.3274
BFGSLineSearch:   47[ 72] 19:52:12   -83620.456229*       0.5269
